Real_Goal,Time,Cost,Prob,Results,rl
1,117487826,50/109/,0.7607621919902593/0.23923780800974062/,0/,no
0,135632885,792/2718/,0.918993643322837/0.08100635667716312/,0/,no
1,119700497,50/50/,0.5/0.5/,0/1/,no
0,118910519,109/11257/,1.0/9.687870501628431E-45/,0/,no
1,136372732,50/50/,0.5/0.5/,0/1/,no
0,136049916,79/14313/,1.0/5.347543269798133E-78/,0/,no
1,113261672,50/50/,0.5/0.5/,0/1/,no
0,118364759,50/22128/,1.0/9.841634367802605E-189/,0/,no
1,104212659,50/157/,0.8907124548274352/0.10928754517256477/,0/,no
0,111808517,50/409/,0.9991239541393758/8.76045860624131E-4/,0/,no
1,128211078,50/827/,0.9999997582337192/2.417662807667061E-7/,0/,no
0,112261761,50/1089/,0.999999998579915/1.420085123464855E-9/,0/,no
1,120039227,82/321/,0.946824604839467/0.053175395160533045/,0/,no
0,121908492,68/13922/,1.0/6.327337223275562E-88/,0/,no
1,112645177,82/82/,0.5/0.5/,0/1/,no
0,131669298,68/10621/,1.0/3.785478296021325E-67/,0/,no
1,127693870,50/109/,0.7607621919902593/0.23923780800974062/,0/,no
0,150932490,122/198/,0.6497376404314578/0.3502623595685422/,0/,no
1,108778590,79/68/,0.46022912271577787/0.539770877284222/,0/1/,no
0,120588718,50/14462/,1.0/1.8771058405300653E-123/,0/,no
1,114247081,157/157/,0.5/0.5/,0/1/,no
0,118966393,50/20989/,1.0/4.923916226886464E-179/,0/,no
1,131971517,128/248/,0.7171224641158099/0.2828775358841901/,0/,no
0,115012178,50/1102/,0.9999999988994447/1.1005552833215097E-9/,0/,no
1,109768292,50/50/,0.5/0.5/,0/1/,yes
0,120634310,50/787/,0.9999994703137155/5.296862844185073E-7/,0/,no
1,115903855,50/54/,0.5195977978782956/0.48040220212170437/,0/1/,no
0,121830943,860/860/,0.5/0.5/,0/1/,no
1,115106141,246/246/,0.5/0.5/,0/1/,no
0,114217112,50/4673/,1.0/4.2902495277813994E-40/,0/,no
1,110411983,50/50/,0.5/0.5/,0/1/,no
0,114428944,50/5151/,1.0/3.6478437828107847E-44/,0/,no
1,111973805,128/50/,0.17807976793235317/0.8219202320676469/,1/,no
0,118389501,1548/1506/,0.49303296588526135/0.5069670341147388/,0/1/,no
1,111267839,55/98/,0.6830571685176997/0.3169428314823002/,0/,no
0,116172027,50/507/,0.9998716709193957/1.2832908060443038E-4/,0/,no
1,120216924,79/79/,0.5/0.5/,0/1/,no
0,116521718,109/841/,0.9987135036702244/0.00128649632977564/,0/,no
1,108674920,198/111/,0.31501305132946783/0.6849869486705321/,1/,no
0,111835906,50/894/,0.9999999350091713/6.499082877116443E-8/,0/,no
1,122841461,50/50/,0.5/0.5/,0/1/,no
0,141950786,109/7160/,1.0/1.4511881052219787E-28/,0/,no
1,130572250,79/50/,0.36155359365622713/0.6384464063437728/,1/,no
0,154349895,50/4673/,1.0/4.2902495277813994E-40/,0/,no
1,127260615,64/72/,0.5307304486714434/0.4692695513285567/,0/1/,no
0,141296850,294/6305/,0.9999999985851908/1.4148091548350255E-9/,0/,no
1,135181180,50/50/,0.5/0.5/,0/1/,no
0,130329939,50/787/,0.9999994703137155/5.296862844185073E-7/,0/,no
1,118058908,50/50/,0.5/0.5/,0/1/,no
0,121342221,50/2048/,1.0/9.679992104695556E-18/,0/,no
1,118203601,1204/1515/,0.5641670299483225/0.4358329700516774/,0/,no
0,104780718,50/364/,0.9978855898489443/0.002114410151055712/,0/,no
1,145170788,98/365/,0.9368475957123458/0.06315240428765426/,0/,no
0,118367681,50/513/,0.9998859125691789/1.1408743082112265E-4/,0/,no
1,127895873,50/68/,0.5873306243819909/0.41266937561800915/,0/,no
0,109071470,50/980/,0.9999999879631629/1.2036837114792117E-8/,0/,no
1,108143122,50/50/,0.5/0.5/,0/1/,no
0,111926315,169/809/,0.9773504628105787/0.02264953718942129/,0/,no
1,113035846,50/190/,0.9396359077584431/0.060364092241556935/,0/,no
0,112451486,169/5904/,0.9999999999999978/2.2333043884819924E-15/,0/,no
1,138263172,50/128/,0.8219202320676469/0.17807976793235317/,0/,no
0,114470418,205/8117/,1.0/2.087943458951469E-17/,0/,no
1,112355559,246/246/,0.5/0.5/,0/1/,no
0,115249553,109/3061/,0.9999999999977863/2.2136826353900317E-12/,0/,no
1,119475712,50/50/,0.5/0.5/,0/1/,yes
0,122992265,60/2930/,1.0/3.688082314540357E-21/,0/,no
1,121600294,109/294/,0.8431451382796352/0.15685486172036484/,0/,no
0,109457055,50/272/,0.9872945975071947/0.012705402492805181/,0/,no
1,109956161,246/109/,0.22348797043516147/0.7765120295648384/,1/,no
0,124231056,128/1333/,0.9999122635401849/8.773645981502215E-5/,0/,no
1,105975162,691/50/,3.4794687619070422E-6/0.999996520531238/,1/,no
0,105837683,50/1442/,0.9999999999985993/1.4006038553375462E-12/,0/,no
1,113587693,50/50/,0.5/0.5/,0/1/,no
0,109299268,50/1467/,0.9999999999991421/8.578786615820239E-13/,0/,no
1,104752444,914/109/,6.629274732852914E-4/0.9993370725267147/,1/,no
0,114505664,109/5523/,1.0/4.215171285203838E-22/,0/,no
1,140806836,98/51/,0.28826075330537854/0.7117392466946214/,1/,no
0,113043342,50/18816/,1.0/1.5727576842453683E-160/,0/,no
1,111325108,50/364/,0.9978855898489443/0.002114410151055712/,0/,no
0,118382636,161/1696/,0.9999232828565908/7.671714340910538E-5/,0/,no
1,109558248,249/51/,0.02171724055326441/0.9782827594467356/,1/,no
0,118547691,115/39777/,1.0/3.2264606184550617E-149/,0/,no
1,112088888,79/704/,0.9995955185021579/4.044814978420806E-4/,0/,no
0,116755776,50/6785/,1.0/4.442031710532443E-58/,0/,no
1,113163027,109/50/,0.23923780800974062/0.7607621919902593/,1/,no
0,107703466,50/123/,0.8071150847204498/0.1928849152795503/,0/,no
1,113665216,50/128/,0.8219202320676469/0.17807976793235317/,0/,no
0,110066882,109/2941/,0.9999999999934099/6.5900871332462946E-12/,0/,no
1,116891194,50/50/,0.5/0.5/,0/1/,no
0,117556758,109/1798/,0.9999997854119448/2.145880551848956E-7/,0/,no
1,109727985,914/109/,6.629274732852914E-4/0.9993370725267147/,1/,no
0,114491763,1169/20966/,0.9999999551755849/4.4824415132504E-8/,0/,no
1,108297806,249/51/,0.02171724055326441/0.9782827594467356/,1/,no
0,139958910,268/11264/,1.0/1.766867586831326E-18/,0/,no
1,107836116,50/50/,0.5/0.5/,0/1/,no
0,114242316,50/108155/,1.0/0.0/,0/,no
1,110693503,320/79/,0.04686434888450833/0.9531356511154917/,1/,no
0,142367244,138/1056/,0.9986473236111384/0.0013526763888615423/,0/,no
1,121980101,914/50/,4.390768327629132E-8/0.9999999560923167/,1/,no
0,177283955,50/434/,0.9994632341943136/5.367658056863927E-4/,0/,no
1,125285149,1442/188/,0.0013119595026809586/0.998688040497319/,1/,no
0,106064357,50/2165/,1.0/9.76230491231732E-19/,0/,no
1,119147106,109/744/,0.996898389243137/0.003101610756862968/,0/,no
0,124972935,83/572/,0.9970453868725807/0.0029546131274193256/,0/,no
1,116824191,912/109/,6.75082730632838E-4/0.9993249172693672/,1/,no
0,106961126,438/364/,0.44948796808824804/0.550512031911752/,0/1/,no
1,113788623,914/109/,6.629274732852914E-4/0.9993370725267147/,1/,no
0,115189462,50/5429/,1.0/1.5656890935230988E-46/,0/,no
1,109152170,109/246/,0.7765120295648384/0.22348797043516147/,0/,no
0,112786613,50/511/,0.9998813502097756/1.1864979022441361E-4/,0/,no
1,113612177,1179/129/,3.1052887863928955E-4/0.9996894711213606/,1/,no
0,115199794,109/836/,0.9986537577124867/0.0013462422875133364/,0/,no
1,120015483,114/1916/,0.9999998433991106/1.5660088939617426E-7/,0/,no
0,111632396,89/542/,0.993525146130024/0.006474853869976102/,0/,no
1,116091621,188/50/,0.06262714288997764/0.9373728571100223/,1/,no
0,118524479,128/2568/,0.9999999938984847/6.101515290894324E-9/,0/,no
1,107020900,246/50/,0.020976820945035182/0.9790231790549648/,1/,no
0,108725418,109/3488/,0.9999999999999544/4.563133158448435E-14/,0/,no
1,114134171,113/113/,0.5/0.5/,0/1/,no
0,113331159,51/3977/,1.0/1.6246754435760818E-33/,0/,no
1,111994467,50/50/,0.5/0.5/,0/1/,no
0,112855014,80/3987/,1.0/1.1271801276820745E-21/,0/,no
1,115009595,82/123/,0.6210426053446543/0.3789573946553456/,0/,no
0,115204014,93/26718/,1.0/9.736392607370452E-124/,0/,no
1,133686814,109/1440/,0.9999944405176663/5.559482333634498E-6/,0/,no
0,112366203,50/1124/,0.9999999992850607/7.149392584023484E-10/,0/,no
1,118426773,150/526/,0.9234424846643945/0.07655751533560554/,0/,no
0,108747116,109/660/,0.9933673157162257/0.006632684283774264/,0/,no
1,116157968,168/160/,0.4875801950632323/0.5124198049367678/,0/1/,no
0,125980578,50/5651/,1.0/2.014870755095108E-48/,0/,no
1,116010368,914/50/,4.390768327629132E-8/0.9999999560923167/,1/,no
0,113488276,50/10334/,1.0/2.6656004983505577E-88/,0/,no
1,109269636,50/50/,0.5/0.5/,0/1/,no
0,102795535,50/409/,0.9991239541393758/8.76045860624131E-4/,0/,no
1,107395462,50/50/,0.5/0.5/,0/1/,no
0,137035666,93/7577/,1.0/2.647079556650539E-35/,0/,no
1,109598237,50/50/,0.5/0.5/,0/1/,no
0,112361913,82/3016/,0.9999999999999996/4.445818082299552E-16/,0/,no
1,119169158,914/50/,4.390768327629132E-8/0.9999999560923167/,1/,no
0,116523542,93/6455/,1.0/4.041846839436926E-30/,0/,no
1,136023043,320/79/,0.04686434888450833/0.9531356511154917/,1/,no
0,132155739,239/710/,0.8768032551885853/0.12319674481141461/,0/,no
1,133697813,103/93/,0.4734293097176397/0.5265706902823604/,0/1/,no
0,128085389,68/1356/,0.9999999921806677/7.819332262313117E-9/,0/,no
1,131876321,257/54/,0.02434199455680558/0.9756580054431945/,1/,no
0,146065629,50/7977/,1.0/3.1405997176813887E-68/,0/,no
1,125512493,93/93/,0.5/0.5/,0/1/,no
0,154239147,5376/1436515/,1.0/2.561231588290226E-116/,0/,no
1,175601649,114/37834/,1.0/3.5596716168395186E-143/,0/,no
0,155490455,79/42908/,1.0/3.126226441928422E-233/,0/,no
1,136213312,50/50/,0.5/0.5/,0/1/,no
0,174285181,50/2568/,1.0/3.61222175003823E-22/,0/,no
1,143092099,93/364/,0.9469985717352077/0.05300142826479226/,0/,no
0,141451227,109/31769/,1.0/1.0049671014241419E-125/,0/,no
1,119037365,50/50/,0.5/0.5/,0/1/,no
0,134593946,128/2165/,0.9999998612646691/1.3873533089975883E-7/,0/,no
1,134266176,50/123/,0.8071150847204498/0.1928849152795503/,0/,no
0,133754167,109/511/,0.9747792865779275/0.02522071342207257/,0/,no
1,133946760,128/50/,0.17807976793235317/0.8219202320676469/,1/,no
